index,min,max,median,mean,std,25th,50th,75th,90th,95th,99th
710,0.264741659164,6.6270737648,3.329493045805,3.332863498508948,1.4409828510149836,2.1435968875875,3.329493045805,4.527028501035,5.277443623540001,5.612515974045,6.0659602928141
45,0.284713983536,3.80608391762,1.44248771667,1.4498597419724248,0.5934110618333868,0.965726852417,1.44248771667,1.907124638555,2.180993080138,2.338769721989,3.033844270707599
376,0.447787284851,13.5304875374,5.96974778175,5.998675779607134,2.6311579407687864,3.838495135305,5.96974778175,8.135328173635,9.51871013641,10.1748840809,11.219480967530002
711,0.51785326004,11.3779182434,5.72016429901,5.776720377057341,2.555252228394619,3.64645028114,5.72016429901,7.915962338445,9.252498292924,9.847632408144,10.634707036014
46,0.256186485291,7.43595027924,3.34923553467,3.3377324837830646,1.4537109078010177,2.13142055273,3.34923553467,4.5322248339625,5.284147143365001,5.6268203854525,6.120908260345
377,0.28881072998,8.67139840126,4.09513044357,4.048121397025176,1.7395454291150942,2.6276677846925,4.09513044357,5.4818297028525,6.330176305769,6.7336997032150006,7.3742645907436986
712,0.375236749649,10.4321744442,4.77339863777,4.759367981308608,2.039985473836506,3.1005961895,4.77339863777,6.42778944969,7.46085786819,7.96124219894,8.705178403854001
47,0.275313854218,4.11603307724,1.54736495018,1.5468830138815495,0.602393149577725,1.06635141373,1.54736495018,2.010577201845,2.31536054611,2.4775484800300003,2.944661188123
713,0.467860937119,3.81542611122,2.07605171204,2.066667342023134,0.7922396514266777,1.4110865593,2.07605171204,2.73236703873,3.116220474242,3.317495679854,3.5276111888856
378,0.256295442581,6.13784432411,2.343297243115,2.3487607581032557,0.9254177172669493,1.62100148201,2.343297243115,3.0496688485125,3.531169676782,3.8002187609695,4.494596614837
48,0.804691314697,8.98411631584,4.13428878784,4.107001350839565,1.6562134278173777,2.73075938225,4.13428878784,5.47809195518,6.21418924332,6.670675563813999,7.392421903612799
714,1.34082484245,9.66676926613,5.202308654785,5.219274630147016,2.0702890600175214,3.4479715824149997,5.202308654785,6.98454076052,7.933582186699,8.449219357965001,9.2943298149093
379,0.354126691818,10.2154679298,4.983861088755001,5.06143598778212,2.299045392007071,3.13985824585,4.983861088755001,7.00577414036,8.207023239138,8.724461925032,9.4022958111801
49,0.353180408478,6.7626619339,3.2982165813449997,3.317722239216962,1.4180217399669732,2.14918923378,3.2982165813449997,4.4907217621825,5.236924576756,5.575216650962,6.0452837252595915
715,0.281451940536,3.30087661743,1.05272626877,1.0828779063328473,0.3935615526815192,0.782989144325,1.05272626877,1.332760334015,1.58312046528,1.7475211024275,2.2100135326384955
380,0.276198625565,5.68225073814,1.93412220478,1.9720809147805658,0.7609079368484268,1.395024180415,1.93412220478,2.471305012705,2.9203518152220003,3.2401084542295,4.1266223669046
50,0.334996938705,7.09533715248,2.7536605596549997,2.7638475664363584,1.1979824467313496,1.7748233675975,2.7536605596549997,3.723402917385,4.322217750546,4.618455135827,5.341127583981806
716,0.996220350266,11.3169281483,5.79957020283,5.86555345758959,2.443812585264358,3.832919538025,5.79957020283,7.902695953842501,9.144651365279,9.7867411851855,10.673526465917998
381,0.458625078201,9.15085196495,4.886462688445,4.77161594746772,1.9592449072436648,3.172133147715,4.886462688445,6.3917801976175,7.299590921403,7.7396801829325,8.360928974151399
51,0.305244445801,5.38695073128,2.64734101295,2.635872888334384,1.1382353352791714,1.6834378242499999,2.64734101295,3.59148359299,4.15107798576,4.40447473526,4.7770526885989995
717,0.493402957916,5.25322318077,2.73341655731,2.7407824017953817,1.0969990779542735,1.82990694046,2.73341655731,3.65920639038,4.200464248656,4.4815473556539995,4.8824679660795995
382,0.29939866066,7.09769368172,3.64810347557,3.5849580580271163,1.4359644067919124,2.44233894348,3.64810347557,4.75006532669,5.455676269532,5.800754880908,6.277862148287601
52,0.627455472946,11.2422289848,5.60908341408,5.676556424415746,2.5133103103134036,3.57979798317,5.60908341408,7.77946257591,9.105243730544,9.684653377536,10.450485143643998
718,0.191244840622,4.16057085991,1.5309256315200002,1.5394495317099246,0.6342202292277072,1.033809185025,1.5309256315200002,2.0144245028525,2.344178676607,2.5180919051190003,3.1658178067228038
383,0.284855127335,4.98817276955,1.65968418121,1.6942434071944437,0.6992567870522859,1.17430341244,1.65968418121,2.124432444575,2.491988134384,2.8182369708999997,4.014382390979496
53,0.27717590332,4.12601900101,1.24898099899,1.2840378087995894,0.4938829743072218,0.920215010643,1.24898099899,1.579466104505,1.8458381652840001,2.0488992214209993,2.9671096563318
719,0.509971380234,3.84756374359,2.077308893205,2.0626925372102893,0.7802754478838168,1.408955037595,2.077308893205,2.7187077403049997,3.070294976235,3.2742811441425,3.587547791001
384,0.471369028091,4.42911434174,1.67174124718,1.6973753550857404,0.578225284768058,1.2532352209100002,1.67174124718,2.0855944156649997,2.440302181244,2.6685363531119997,3.236478137968815
54,0.292851448059,4.33158636093,2.1763305664050003,2.1713004495436623,0.8727214138421562,1.4496151208899999,2.1763305664050003,2.8960638642325,3.333807134631,3.545142841335,3.8350175213775994
720,0.456876993179,11.5118181705,5.728131890295,5.769084283643432,2.567039558301938,3.639615893365,5.728131890295,7.90044230223,9.260851907731002,9.8603284239765,10.655403342270999
385,0.363909482956,8.28424072266,4.113271474835,4.105727959577187,1.7296742782863364,2.7012099027625,4.113271474835,5.5135486722,6.420288348199001,6.851343655588,7.451012773513201
55,0.278828620911,6.98987841606,3.426193118095,3.4165953788782093,1.4570055156546324,2.21896022558,3.426193118095,4.6090102791825,5.367785811428,5.723850584026,6.214208385947899
